Date,DayOfWeek,BusCommuters,Rail,Total
01/01/2014,U,281657,303441,585098
01/02/2014,W,601103,569395,1170498
01/03/2014,W,691262,598290,1289552
01/04/2014,A,469542,361203,830745
01/05/2014,U,268582,237067,505649
01/06/2014,W,311075,269542,580617
01/07/2014,W,489810,468681,958491
01/08/2014,W,806256,687473,1493729
01/09/2014,W,860867,727384,1588251
01/10/2014,W,872079,725812,1597891
01/11/2014,A,526267,424639,950906
01/12/2014,U,387031,312663,699694
01/13/2014,W,948883,762345,1711228
01/14/2014,W,923401,761893,1685294
01/15/2014,W,940266,761924,1702190
01/16/2014,W,927231,765910,1693141
01/17/2014,W,909353,743024,1652377
01/18/2014,A,480918,418986,899904
01/19/2014,U,372608,316288,688896
01/20/2014,W,599662,502485,1102147
01/21/2014,W,855515,734096,1589611
01/22/2014,W,872967,737074,1610041
01/23/2014,W,825049,715759,1540808
01/24/2014,W,763075,680260,1443335
01/25/2014,A,490314,396641,886955
01/26/2014,U,337328,280648,617976
01/27/2014,W,502031,472484,974515
01/28/2014,W,519517,485867,1005384
01/29/2014,W,889744,733780,1623524
01/30/2014,W,902855,751471,1654326
01/31/2014,W,930172,754479,1684651
02/01/2014,A,497989,405961,903950
02/02/2014,U,377994,299870,677864
02/03/2014,W,931825,729128,1660953
02/04/2014,W,946438,759960,1706398
02/05/2014,W,828739,753984,1582723
02/06/2014,W,888288,753787,1642075
02/07/2014,W,873759,724771,1598530
02/08/2014,A,513518,416614,930132
02/09/2014,U,385739,301471,687210
02/10/2014,W,888500,716772,1605272
02/11/2014,W,923651,743715,1667366
02/12/2014,W,842139,713255,1555394
02/13/2014,W,975061,784280,1759341
02/14/2014,W,961152,778342,1739494
02/15/2014,A,567619,448648,1016267
02/16/2014,U,401088,324457,725545
02/17/2014,W,695931,594339,1290270
02/18/2014,W,947147,777183,1724330
02/19/2014,W,974552,783745,1758297
02/20/2014,W,893699,759455,1653154
02/21/2014,W,926827,766802,1693629
02/22/2014,A,570349,452998,1023347
02/23/2014,U,392042,315317,707359
02/24/2014,W,925043,739926,1664969
02/25/2014,W,933471,752744,1686215
02/26/2014,W,884516,728685,1613201
02/27/2014,W,876615,728137,1604752
02/28/2014,W,936301,745915,1682216
03/01/2014,A,559952,448218,1008170
03/02/2014,U,371300,304402,675702
03/03/2014,W,900837,709629,1610466
03/04/2014,W,953477,761357,1714834
