Date,DayOfWeek,BusCommuters,Rail,Total
01/01/2017,U,277926,292472,570398
01/02/2017,U,371865,314798,686663
01/03/2017,W,690503,650650,1341153
01/04/2017,W,636491,639970,1276461
01/05/2017,W,611987,629939,1241926
01/06/2017,W,591800,600277,1192077
01/07/2017,A,362508,319746,682254
01/08/2017,U,290096,244060,534156
01/09/2017,W,781139,692776,1473915
01/10/2017,W,773792,711194,1484986
01/11/2017,W,803730,714551,1518281
01/12/2017,W,777149,714212,1491361
01/13/2017,W,771359,698254,1469613
01/14/2017,A,429614,363554,793168
01/15/2017,U,328355,280852,609207
01/16/2017,W,486791,435039,921830
01/17/2017,W,829925,737976,1567901
01/18/2017,W,835362,742180,1577542
01/19/2017,W,823901,743065,1566966
01/20/2017,W,798511,731616,1530127
01/21/2017,A,488902,582031,1070933
01/22/2017,U,331138,272268,603406
01/23/2017,W,817750,724078,1541828
01/24/2017,W,834979,742724,1577703
01/25/2017,W,831467,743587,1575054
01/26/2017,W,823395,750472,1573867
01/27/2017,W,792183,715515,1507698
01/28/2017,A,439479,382131,821610
01/29/2017,U,304565,274728,579293
01/30/2017,W,806014,715290,1521304
01/31/2017,W,828074,741389,1569463
02/01/2017,W,883845,750500,1634345
02/02/2017,W,829125,736551,1565676
02/03/2017,W,782899,690415,1473314
02/04/2017,A,461743,370873,832616
02/05/2017,U,351708,282731,634439
02/06/2017,W,838312,713858,1552170
02/07/2017,W,827885,734586,1562471
02/08/2017,W,841278,737535,1578813
02/09/2017,W,815353,726872,1542225
02/10/2017,W,832724,720483,1553207
02/11/2017,A,497589,405211,902800
02/12/2017,U,358101,296805,654906
02/13/2017,W,822007,702129,1524136
02/14/2017,W,870130,752585,1622715
02/15/2017,W,841181,735910,1577091
02/16/2017,W,831398,738525,1569923
02/17/2017,W,841425,738941,1580366
02/18/2017,A,512205,447059,959264
02/19/2017,U,383581,328391,711972
02/20/2017,W,623736,557822,1181558
02/21/2017,W,848951,741773,1590724
02/22/2017,W,873309,758299,1631608
02/23/2017,W,850254,751257,1601511
02/24/2017,W,820536,723532,1544068
02/25/2017,A,449817,374595,824412
02/26/2017,U,350829,287405,638234
02/27/2017,W,837214,720932,1558146
02/28/2017,W,823654,730508,1554162
