Date,DayOfWeek,BusCommuters,Rail,Total
01/01/2016,U,303321,319835,623156
01/02/2016,A,448859,365509,814368
01/03/2016,U,340540,287661,628201
01/04/2016,W,829429,703185,1532614
01/05/2016,W,846789,727716,1574505
01/06/2016,W,853904,733167,1587071
01/07/2016,W,846274,736809,1583083
01/08/2016,W,841494,732495,1573989
01/09/2016,A,469539,391597,861136
01/10/2016,U,306896,263073,569969
01/11/2016,W,753006,694734,1447740
01/12/2016,W,760149,705694,1465843
01/13/2016,W,787220,716663,1503883
01/14/2016,W,859099,758116,1617215
01/15/2016,W,858032,742622,1600654
01/16/2016,A,486797,404212,891009
01/17/2016,U,266532,241160,507692
01/18/2016,W,439597,405686,845283
01/19/2016,W,810646,727458,1538104
01/20/2016,W,856911,758524,1615435
01/21/2016,W,873177,766262,1639439
01/22/2016,W,841282,745168,1586450
01/23/2016,A,487975,416999,904974
01/24/2016,U,352859,293804,646663
01/25/2016,W,865486,751104,1616590
01/26/2016,W,872768,764023,1636791
01/27/2016,W,882832,768241,1651073
01/28/2016,W,877280,771161,1648441
01/29/2016,W,863548,751090,1614638
01/30/2016,A,510514,427874,938388
01/31/2016,U,358361,293056,651417
02/01/2016,W,926781,759849,1686630
02/02/2016,W,833911,739247,1573158
02/03/2016,W,925655,772821,1698476
02/04/2016,W,901406,778227,1679633
02/05/2016,W,785587,731495,1517082
02/06/2016,A,522296,423602,945898
02/07/2016,U,377642,301141,678783
02/08/2016,W,856547,733387,1589934
02/09/2016,W,858961,752849,1611810
02/10/2016,W,850090,742445,1592535
02/11/2016,W,866884,752703,1619587
02/12/2016,W,820833,706242,1527075
02/13/2016,A,438203,392095,830298
02/14/2016,U,339238,314191,653429
02/15/2016,W,605584,548390,1153974
02/16/2016,W,883108,764147,1647255
02/17/2016,W,889758,766940,1656698
02/18/2016,W,890627,773317,1663944
02/19/2016,W,887914,761996,1649910
02/20/2016,A,566721,464149,1030870
02/21/2016,U,378769,311190,689959
02/22/2016,W,869531,745072,1614603
02/23/2016,W,890949,765309,1656258
02/24/2016,W,795160,725712,1520872
02/25/2016,W,855117,762858,1617975
02/26/2016,W,865397,749991,1615388
02/27/2016,A,536678,455421,992099
02/28/2016,U,385121,323758,708879
02/29/2016,W,862380,742972,1605352
03/01/2016,W,859775,741922,1601697
03/02/2016,W,878633,760062,1638695
03/03/2016,W,882188,764033,1646221
03/04/2016,W,883059,754750,1637809
03/05/2016,A,503983,421193,925176
03/06/2016,U,393610,327173,720783
03/07/2016,W,866171,739174,1605345
03/08/2016,W,902888,781301,1684189
03/09/2016,W,882030,768961,1650991
03/10/2016,W,888084,780687,1668771
03/11/2016,W,886599,797977,1684576
03/12/2016,A,542246,605182,1147428
03/13/2016,U,332203,303129,635332
03/14/2016,W,870740,766595,1637335
03/15/2016,W,887592,769441,1657033
03/16/2016,W,876232,779846,1656078
03/17/2016,W,891580,793590,1685170
03/18/2016,W,875707,765919,1641626
03/19/2016,A,520426,438020,958446
03/20/2016,U,388282,318670,706952
03/21/2016,W,845669,707127,1552796
03/22/2016,W,863201,727343,1590544
03/23/2016,W,838201,714672,1552873
03/24/2016,W,770638,689517,1460155
03/25/2016,W,722960,650870,1373830
03/26/2016,A,518549,415919,934468
03/27/2016,U,342269,278098,620367
03/28/2016,W,842760,731858,1574618
03/29/2016,W,891134,766072,1657206
03/30/2016,W,860700,750353,1611053
03/31/2016,W,832775,758014,1590789
04/01/2016,W,848592,767974,1616566
04/02/2016,A,492072,406616,898688
04/03/2016,U,396042,345432,741474
04/04/2016,W,857791,741710,1599501
04/05/2016,W,898889,774877,1673766
04/06/2016,W,851050,763128,1614178
04/07/2016,W,867670,786281,1653951
04/08/2016,W,782419,753786,1536205
04/09/2016,A,509980,446082,956062
04/10/2016,U,345627,301954,647581
04/11/2016,W,878043,789042,1667085
04/12/2016,W,886265,777658,1663923
04/13/2016,W,850705,796616,1647321
04/14/2016,W,863513,805071,1668584
04/15/2016,W,881603,806015,1687618
04/16/2016,A,554744,505299,1060043
04/17/2016,U,409732,376485,786217
04/18/2016,W,785035,732335,1517370
04/19/2016,W,765854,741141,1506995
04/20/2016,W,774694,745040,1519734
04/21/2016,W,768704,754746,1523450
04/22/2016,W,745475,721051,1466526
04/23/2016,A,503944,445282,949226
04/24/2016,U,397080,343644,740724
04/25/2016,W,854155,751951,1606106
04/26/2016,W,862743,782134,1644877
04/27/2016,W,856722,782591,1639313
04/28/2016,W,851720,821158,1672878
04/29/2016,W,893284,815629,1708913
04/30/2016,A,474138,416588,890726
05/01/2016,U,376131,334275,710406
05/02/2016,W,878407,751259,1629666
05/03/2016,W,879141,769834,1648975
05/04/2016,W,879217,767760,1646977
05/05/2016,W,898541,818665,1717206
05/06/2016,W,877873,814758,1692631
05/07/2016,A,512770,484312,997082
05/08/2016,U,393146,357946,751092
05/09/2016,W,815440,736551,1551991
05/10/2016,W,827322,761469,1588791
05/11/2016,W,873275,804156,1677431
05/12/2016,W,849532,775198,1624730
05/13/2016,W,852594,787476,1640070
05/14/2016,A,497514,455838,953352
05/15/2016,U,384799,360008,744807
05/16/2016,W,836089,730287,1566376
05/17/2016,W,839788,748287,1588075
05/18/2016,W,856701,757395,1614096
05/19/2016,W,855438,772464,1627902
05/20/2016,W,834308,756160,1590468
05/21/2016,A,513934,460385,974319
05/22/2016,U,393684,357897,751581
05/23/2016,W,839566,748976,1588542
05/24/2016,W,854725,767439,1622164
05/25/2016,W,833427,754244,1587671
05/26/2016,W,853656,775073,1628729
05/27/2016,W,808244,757981,1566225
05/28/2016,A,500775,532343,1033118
05/29/2016,U,409978,430982,840960
05/30/2016,U,394914,389143,784057
05/31/2016,W,801439,753953,1555392
06/01/2016,W,872679,788650,1661329
06/02/2016,W,873112,815928,1689040
06/03/2016,W,892290,824890,1717180
06/04/2016,A,504778,462308,967086
06/05/2016,U,415836,395977,811813
06/06/2016,W,854036,762707,1616743
06/07/2016,W,863284,795251,1658535
06/08/2016,W,866785,791667,1658452
06/09/2016,W,828551,789678,1618229
06/10/2016,W,862529,853441,1715970
06/11/2016,A,530558,542809,1073367
06/12/2016,U,409577,414048,823625
06/13/2016,W,827684,760210,1587894
06/14/2016,W,834141,778823,1612964
06/15/2016,W,845450,786422,1631872
06/16/2016,W,832864,777260,1610124
06/17/2016,W,832088,818467,1650555
06/18/2016,A,526402,520856,1047258
06/19/2016,U,405719,396078,801797
06/20/2016,W,785446,762810,1548256
06/21/2016,W,834157,810149,1644306
06/22/2016,W,707452,755165,1462617
06/23/2016,W,757817,760840,1518657
06/24/2016,W,762562,781653,1544215
06/25/2016,A,531261,506223,1037484
06/26/2016,U,380689,453679,834368
06/27/2016,W,753543,723488,1477031
