Date,DayOfWeek,BusCommuters,Rail,Total
01/01/2015,U,300426,287754,588180
01/02/2015,W,656375,527583,1183958
01/03/2015,A,441327,340135,781462
01/04/2015,U,330082,267676,597758
01/05/2015,W,753918,657877,1411795
01/06/2015,W,771953,679913,1451866
01/07/2015,W,508815,509075,1017890
01/08/2015,W,558275,579994,1138269
01/09/2015,W,715334,639901,1355235
01/10/2015,A,435672,352140,787812
01/11/2015,U,349027,279494,628521
01/12/2015,W,871183,738697,1609880
01/13/2015,W,881226,743774,1625000
01/14/2015,W,885449,742410,1627859
01/15/2015,W,899363,760336,1659699
01/16/2015,W,898222,748177,1646399
01/17/2015,A,539500,417756,957256
01/18/2015,U,391445,300710,692155
01/19/2015,W,597347,502376,1099723
01/20/2015,W,913930,754946,1668876
01/21/2015,W,905178,756860,1662038
01/22/2015,W,903230,761705,1664935
01/23/2015,W,902567,747376,1649943
01/24/2015,A,538766,415123,953889
01/25/2015,U,339402,279154,618556
01/26/2015,W,896430,738965,1635395
01/27/2015,W,913448,764457,1677905
01/28/2015,W,922297,763680,1685977
01/29/2015,W,898174,760217,1658391
01/30/2015,W,933971,754968,1688939
01/31/2015,A,551745,419577,971322
02/01/2015,U,293689,270615,564304
02/02/2015,W,632367,563770,1196137
02/03/2015,W,947457,806148,1753605
02/04/2015,W,957218,791399,1748617
02/05/2015,W,932148,780378,1712526
02/06/2015,W,959648,768091,1727739
02/07/2015,A,600789,439214,1040003
02/08/2015,U,399923,298701,698624
02/09/2015,W,936475,750136,1686611
02/10/2015,W,965833,772727,1738560
02/11/2015,W,966071,770885,1736956
02/12/2015,W,883395,729249,1612644
02/13/2015,W,911949,740559,1652508
02/14/2015,A,514916,380652,895568
02/15/2015,U,336299,276160,612459
02/16/2015,W,652807,547767,1200574
02/17/2015,W,912529,745575,1658104
02/18/2015,W,833785,707746,1541531
02/19/2015,W,576326,575180,1151506
02/20/2015,W,847700,697600,1545300
02/21/2015,A,565948,410400,976348
02/22/2015,U,378733,299663,678396
02/23/2015,W,857014,700742,1557756
02/24/2015,W,901872,728674,1630546
02/25/2015,W,905748,752497,1658245
02/26/2015,W,857402,755359,1612761
02/27/2015,W,903421,736663,1640084
02/28/2015,A,542479,405241,947720
03/01/2015,U,383971,293964,677935
03/02/2015,W,912384,715945,1628329
03/03/2015,W,904439,735951,1640390
03/04/2015,W,928771,750369,1679140
03/05/2015,W,909192,744229,1653421
03/06/2015,W,909446,732902,1642348
03/07/2015,A,585771,427330,1013101
03/08/2015,U,399324,309962,709286
03/09/2015,W,935951,752995,1688946
03/10/2015,W,953173,767551,1720724
03/11/2015,W,955083,778171,1733254
03/12/2015,W,953310,790210,1743520
03/13/2015,W,950690,801547,1752237
03/14/2015,A,605758,673707,1279465
03/15/2015,U,432055,362045,794100
03/16/2015,W,939583,768218,1707801
03/17/2015,W,934438,770081,1704519
03/18/2015,W,937056,771625,1708681
03/19/2015,W,928929,771127,1700056
03/20/2015,W,932331,760906,1693237
03/21/2015,A,566447,447493,1013940
03/22/2015,U,383134,306283,689417
03/23/2015,W,817246,693264,1510510
03/24/2015,W,904344,727888,1632232
03/25/2015,W,916538,734311,1650849
03/26/2015,W,925361,736687,1662048
03/27/2015,W,888293,726738,1615031
03/28/2015,A,539031,429689,968720
03/29/2015,U,362329,325865,688194
03/30/2015,W,903992,736692,1640684
03/31/2015,W,922487,753405,1675892
04/01/2015,W,974353,784085,1758438
04/02/2015,W,897550,761806,1659356
04/03/2015,W,814328,681130,1495458
04/04/2015,A,582015,427101,1009116
04/05/2015,U,393690,327292,720982
04/06/2015,W,807389,711923,1519312
04/07/2015,W,813597,727328,1540925
04/08/2015,W,822289,750275,1572564
04/09/2015,W,748326,711033,1459359
04/10/2015,W,828661,757159,1585820
04/11/2015,A,586791,469045,1055836
