Date,DayOfWeek,BusCommuters,Rail,Total
01/01/2009,U,338779,238590,577369
01/02/2009,W,765802,443439,1209241
01/03/2009,A,580506,293634,874140
01/04/2009,U,402180,213098,615278
01/05/2009,W,1012207,591455,1603662
01/06/2009,W,1006184,600314,1606498
01/07/2009,W,991858,606481,1598339
01/08/2009,W,1000931,606524,1607455
01/09/2009,W,985250,625043,1610293
01/10/2009,A,521906,304657,826563
01/11/2009,U,390151,219600,609751
01/12/2009,W,1009651,629944,1639595
01/13/2009,W,952091,615363,1567454
01/14/2009,W,905548,620646,1526194
01/15/2009,W,755677,532219,1287896
01/16/2009,W,822136,542180,1364316
01/17/2009,A,553273,302764,856037
01/18/2009,U,397317,224910,622227
01/19/2009,W,665251,409551,1074802
01/20/2009,W,1018227,624553,1642780
01/21/2009,W,1068170,647903,1716073
01/22/2009,W,1082611,657786,1740397
01/23/2009,W,979795,622633,1602428
01/24/2009,A,561515,316086,877601
01/25/2009,U,376302,215452,591754
01/26/2009,W,1024953,633365,1658318
01/27/2009,W,1050873,646578,1697451
01/28/2009,W,1044085,653089,1697174
01/29/2009,W,1040926,648114,1689040
01/30/2009,W,1059741,627734,1687475
01/31/2009,A,667780,340757,1008537
02/01/2009,U,459271,242773,702044
02/02/2009,W,1062276,628819,1691095
02/03/2009,W,1058730,636578,1695308
02/04/2009,W,1026435,631042,1657477
02/05/2009,W,1064605,643718,1708323
02/06/2009,W,1090042,639394,1729436
02/07/2009,A,722336,387825,1110161
02/08/2009,U,469249,245082,714331
02/09/2009,W,1061620,634229,1695849
02/10/2009,W,1121451,666014,1787465
02/11/2009,W,1001838,637558,1639396
02/12/2009,W,943891,620278,1564169
02/13/2009,W,1008863,643066,1651929
02/14/2009,A,711324,388028,1099352
02/15/2009,U,466104,262442,728546
02/16/2009,W,765356,486133,1251489
02/17/2009,W,1087248,654156,1741404
02/18/2009,W,1030930,637389,1668319
02/19/2009,W,1004978,639414,1644392
02/20/2009,W,1032282,632936,1665218
02/21/2009,A,578539,329252,907791
02/22/2009,U,422899,231506,654405
02/23/2009,W,1030913,619409,1650322
02/24/2009,W,1072167,642992,1715159
02/25/2009,W,1082105,650665,1732770
02/26/2009,W,981515,624424,1605939
02/27/2009,W,1045953,631269,1677222
02/28/2009,A,639146,349295,988441
03/01/2009,U,385236,219552,604788
03/02/2009,W,866001,570796,1436797
03/03/2009,W,1095720,642501,1738221
03/04/2009,W,1098350,648398,1746748
03/05/2009,W,1105607,658867,1764474
03/06/2009,W,1106466,653708,1760174
03/07/2009,A,564839,319673,884512
03/08/2009,U,367983,212484,580467
03/09/2009,W,1073249,638209,1711458
