Date,DayOfWeek,BusCommuters,Rail,Total
01/01/2010,U,348324,217060,565384
01/02/2010,A,484655,264011,748666
01/03/2010,U,354762,200944,555706
01/04/2010,W,938766,569397,1508163
01/05/2010,W,970860,589044,1559904
01/06/2010,W,980962,598511,1579473
01/07/2010,W,901941,616491,1518432
01/08/2010,W,937662,597434,1535096
01/09/2010,A,550886,310265,861151
01/10/2010,U,372942,216331,589273
01/11/2010,W,983964,609826,1593790
01/12/2010,W,1012053,626651,1638704
01/13/2010,W,1031317,632953,1664270
01/14/2010,W,1036398,641827,1678225
01/15/2010,W,1043125,634202,1677327
01/16/2010,A,616904,348293,965197
01/17/2010,U,437665,251971,689636
01/18/2010,W,672311,416744,1089055
01/19/2010,W,1083689,661331,1745020
01/20/2010,W,1069450,657695,1727145
01/21/2010,W,1037561,659269,1696830
01/22/2010,W,1061872,642443,1704315
01/23/2010,A,636107,355143,991250
01/24/2010,U,416766,239968,656734
01/25/2010,W,1039778,645886,1685664
01/26/2010,W,1037134,653753,1690887
01/27/2010,W,1022417,648561,1670978
01/28/2010,W,1002952,647250,1650202
01/29/2010,W,918474,610943,1529417
01/30/2010,A,636005,358140,994145
01/31/2010,U,437345,249932,687277
02/01/2010,W,1091041,648428,1739469
02/02/2010,W,1062988,651659,1714647
02/03/2010,W,1114266,661280,1775546
02/04/2010,W,1090369,666455,1756824
02/05/2010,W,1047904,641303,1689207
02/06/2010,A,616747,354178,970925
02/07/2010,U,417214,248644,665858
02/08/2010,W,1006311,637392,1643703
02/09/2010,W,913022,646792,1559814
02/10/2010,W,939412,645430,1584842
02/11/2010,W,921768,657486,1579254
02/12/2010,W,886702,608456,1495158
02/13/2010,A,641619,385945,1027564
02/14/2010,U,486887,309746,796633
02/15/2010,W,722405,483572,1205977
02/16/2010,W,1028597,665769,1694366
02/17/2010,W,1028817,663479,1692296
02/18/2010,W,1026992,673127,1700119
02/19/2010,W,1030451,658459,1688910
02/20/2010,A,625306,379346,1004652
02/21/2010,U,418101,256673,674774
02/22/2010,W,953759,633739,1587498
02/23/2010,W,1015116,659707,1674823
02/24/2010,W,996077,660548,1656625
02/25/2010,W,1000799,668380,1669179
02/26/2010,W,999789,649111,1648900
02/27/2010,A,603577,372769,976346
02/28/2010,U,418652,259369,678021
03/01/2010,W,893861,606818,1500679
03/02/2010,W,1032445,666762,1699207
03/03/2010,W,1062280,674355,1736635
03/04/2010,W,1051738,680673,1732411
03/05/2010,W,1036156,664445,1700601
03/06/2010,A,662470,399749,1062219
03/07/2010,U,418097,257932,676029
03/08/2010,W,1013812,651269,1665081
03/09/2010,W,1025242,665192,1690434
03/10/2010,W,1030470,670440,1700910
03/11/2010,W,994390,664881,1659271
03/12/2010,W,1013971,662812,1676783
03/13/2010,A,593823,443491,1037314
03/14/2010,U,428683,273849,702532
03/15/2010,W,996747,648605,1645352
03/16/2010,W,1036185,679563,1715748
03/17/2010,W,1043518,689789,1733307
03/18/2010,W,1036643,690207,1726850
03/19/2010,W,1022766,663983,1686749
03/20/2010,A,505581,325253,830834
03/21/2010,U,405115,271794,676909
03/22/2010,W,981316,617250,1598566
03/23/2010,W,1012454,638684,1651138
03/24/2010,W,987466,633221,1620687
03/25/2010,W,949845,629016,1578861
03/26/2010,W,971169,632589,1603758
03/27/2010,A,608093,373225,981318
03/28/2010,U,413535,260956,674491
03/29/2010,W,852199,601592,1453791
03/30/2010,W,884276,625592,1509868
03/31/2010,W,901476,645780,1547256
04/01/2010,W,949879,673448,1623327
04/02/2010,W,881173,601009,1482182
04/03/2010,A,583966,340842,924808
