Date,DayOfWeek,BusCommuters,Rail,Total
01/01/2004,U,300347,174003,474350
01/02/2004,W,754051,421851,1175902
01/03/2004,A,560436,250130,810566
01/04/2004,U,303611,162880,466491
01/05/2004,W,894467,548650,1443117
01/06/2004,W,788158,516396,1304554
01/07/2004,W,851011,536299,1387310
01/08/2004,W,903950,556891,1460841
01/09/2004,W,929117,560519,1489636
01/10/2004,A,526469,261687,788156
01/11/2004,U,368655,180035,548690
01/12/2004,W,982070,588906,1570976
01/13/2004,W,977382,596765,1574147
01/14/2004,W,956180,591625,1547805
01/15/2004,W,962171,590965,1553136
01/16/2004,W,969715,578153,1547868
01/17/2004,A,534831,278142,812973
01/18/2004,U,342002,178641,520643
01/19/2004,W,557712,353859,911571
01/20/2004,W,939415,572634,1512049
01/21/2004,W,949321,576593,1525914
01/22/2004,W,854150,542344,1396494
01/23/2004,W,903734,550366,1454100
01/24/2004,A,521800,263571,785371
01/25/2004,U,343967,176977,520944
01/26/2004,W,925536,566031,1491567
01/27/2004,W,906997,586852,1493849
01/28/2004,W,887763,565269,1453032
01/29/2004,W,855905,553448,1409353
01/30/2004,W,756185,500887,1257072
01/31/2004,A,531967,246213,778180
02/01/2004,U,355491,170793,526284
02/02/2004,W,914997,566503,1481500
02/03/2004,W,957823,591153,1548976
02/04/2004,W,947079,581672,1528751
02/05/2004,W,931453,586671,1518124
02/06/2004,W,937566,572957,1510523
02/07/2004,A,553301,281792,835093
02/08/2004,U,369314,185893,555207
02/09/2004,W,948814,578071,1526885
02/10/2004,W,948181,593014,1541195
02/11/2004,W,959174,594399,1553573
02/12/2004,W,796644,537211,1333855
02/13/2004,W,958969,580969,1539938
02/14/2004,A,610834,301728,912562
02/15/2004,U,368733,191759,560492
02/16/2004,W,684054,441539,1125593
02/17/2004,W,966524,596810,1563334
02/18/2004,W,957521,593575,1551096
02/19/2004,W,971162,601442,1572604
02/20/2004,W,933678,580459,1514137
02/21/2004,A,585429,288901,874330
02/22/2004,U,402374,187329,589703
02/23/2004,W,954873,577436,1532309
02/24/2004,W,957453,588493,1545946
02/25/2004,W,967236,596639,1563875
02/26/2004,W,973201,598172,1571373
02/27/2004,W,980935,589768,1570703
02/28/2004,A,607923,310337,918260
02/29/2004,U,413029,208258,621287
03/01/2004,W,828169,534603,1362772
03/02/2004,W,992418,597880,1590298
03/03/2004,W,1007360,594376,1601736
03/04/2004,W,936797,584225,1521022
03/05/2004,W,939138,575845,1514983
03/06/2004,A,602180,296173,898353
03/07/2004,U,370231,186924,557155
03/08/2004,W,969634,585973,1555607
03/09/2004,W,965244,597735,1562979
03/10/2004,W,973415,601851,1575266
03/11/2004,W,927076,589420,1516496
03/12/2004,W,942238,580254,1522492
03/13/2004,A,587662,342986,930648
03/14/2004,U,376244,200734,576978
03/15/2004,W,953320,580038,1533358
03/16/2004,W,942197,582515,1524712
03/17/2004,W,932468,589641,1522109
03/18/2004,W,934303,588303,1522606
03/19/2004,W,988154,593249,1581403
03/20/2004,A,607378,311130,918508
03/21/2004,U,365502,189403,554905
03/22/2004,W,941254,559786,1501040
03/23/2004,W,966919,579228,1546147
03/24/2004,W,917804,565878,1483682
03/25/2004,W,948790,577094,1525884
03/26/2004,W,858131,557755,1415886
03/27/2004,A,585553,300842,886395
03/28/2004,U,377339,215088,592427
03/29/2004,W,949103,573929,1523032
