Date,DayOfWeek,BusCommuters,Rail,Total
01/01/2011,U,342872,239754,582626
01/02/2011,U,364165,225886,590051
01/03/2011,W,925770,581035,1506805
01/04/2011,W,946232,621057,1567289
01/05/2011,W,950712,624027,1574739
01/06/2011,W,939518,625246,1564764
01/07/2011,W,927173,622084,1549257
01/08/2011,A,540394,333951,874345
01/09/2011,U,380762,237361,618123
01/10/2011,W,966448,639852,1606300
01/11/2011,W,923590,654856,1578446
01/12/2011,W,960115,657426,1617541
01/13/2011,W,969691,661269,1630960
01/14/2011,W,983953,656551,1640504
01/15/2011,A,567710,355580,923290
01/16/2011,U,386280,260631,646911
01/17/2011,W,613773,422788,1036561
01/18/2011,W,991055,678327,1669382
01/19/2011,W,1006033,679355,1685388
01/20/2011,W,975376,674347,1649723
01/21/2011,W,853208,598356,1451564
01/22/2011,A,522699,330666,853365
01/23/2011,U,375396,253697,629093
01/24/2011,W,972155,654573,1626728
01/25/2011,W,1006376,680037,1686413
01/26/2011,W,1014944,681652,1696596
01/27/2011,W,994412,685346,1679758
01/28/2011,W,930518,655861,1586379
01/29/2011,A,617408,381200,998608
01/30/2011,U,406547,254689,661236
01/31/2011,W,1001892,670399,1672291
02/01/2011,W,814985,640223,1455208
02/02/2011,W,219234,209287,428521
02/03/2011,W,732420,580480,1312900
02/04/2011,W,933210,715546,1648756
02/05/2011,A,615765,400440,1016205
02/06/2011,U,402275,273038,675313
02/07/2011,W,996782,693321,1690103
02/08/2011,W,986388,697441,1683829
02/09/2011,W,941631,676705,1618336
02/10/2011,W,940692,676869,1617561
02/11/2011,W,965062,659696,1624758
02/12/2011,A,663253,415060,1078313
02/13/2011,U,474048,303381,777429
02/14/2011,W,1064293,708790,1773083
02/15/2011,W,1041367,702586,1743953
02/16/2011,W,1050045,709634,1759679
02/17/2011,W,1046143,719471,1765614
02/18/2011,W,1053474,710682,1764156
02/19/2011,A,675487,431010,1106497
02/20/2011,U,385554,261695,647249
02/21/2011,W,706507,504444,1210951
02/22/2011,W,1004067,692661,1696728
02/23/2011,W,1026312,701009,1727321
02/24/2011,W,1030542,708692,1739234
02/25/2011,W,1015416,691267,1706683
02/26/2011,A,601634,393242,994876
02/27/2011,U,419643,278593,698236
02/28/2011,W,1007930,681614,1689544
03/01/2011,W,1064543,709683,1774226
03/02/2011,W,1038790,702291,1741081
03/03/2011,W,1057767,709973,1767740
03/04/2011,W,1019568,681216,1700784
03/05/2011,A,581121,375814,956935
03/06/2011,U,428668,275314,703982
03/07/2011,W,889994,640899,1530893
03/08/2011,W,1054432,710380,1764812
03/09/2011,W,1014632,697366,1711998
03/10/2011,W,1019921,707389,1727310
03/11/2011,W,1047012,708603,1755615
03/12/2011,A,630826,500559,1131385
03/13/2011,U,429046,284406,713452
03/14/2011,W,1019671,686277,1705948
03/15/2011,W,1025714,699145,1724859
03/16/2011,W,1057440,725095,1782535
03/17/2011,W,1039329,730561,1769890
03/18/2011,W,1028193,706274,1734467
03/19/2011,A,661882,426128,1088010
03/20/2011,U,397653,263022,660675
03/21/2011,W,1009091,661503,1670594
03/22/2011,W,964687,653024,1617711
03/23/2011,W,1000324,667467,1667791
03/24/2011,W,984660,671765,1656425
03/25/2011,W,995334,661865,1657199
