Date,DayOfWeek,BusCommuters,Rail,Total
01/01/2008,U,295571,174243,469814
01/02/2008,W,699149,471241,1170390
01/03/2008,W,783950,517492,1301442
01/04/2008,W,851632,537002,1388634
01/05/2008,A,568839,280264,849103
01/06/2008,U,415385,207391,622776
01/07/2008,W,988485,588092,1576577
01/08/2008,W,990597,592632,1583229
01/09/2008,W,1023189,604515,1627704
01/10/2008,W,998489,602398,1600887
01/11/2008,W,1022368,602428,1624796
01/12/2008,A,604388,299546,903934
01/13/2008,U,391645,202380,594025
01/14/2008,W,996258,607357,1603615
01/15/2008,W,1013209,616432,1629641
01/16/2008,W,1041939,626138,1668077
01/17/2008,W,998608,619823,1618431
01/18/2008,W,959859,585432,1545291
01/19/2008,A,414819,231306,646125
01/20/2008,U,291354,168692,460046
01/21/2008,W,611887,382753,994640
01/22/2008,W,992432,615285,1607717
01/23/2008,W,974052,605979,1580031
01/24/2008,W,910998,588279,1499277
01/25/2008,W,859813,565226,1425039
01/26/2008,A,572085,293979,866064
01/27/2008,U,413581,213177,626758
01/28/2008,W,1025845,623259,1649104
01/29/2008,W,1011729,627428,1639157
01/30/2008,W,882014,580657,1462671
01/31/2008,W,961357,626504,1587861
02/01/2008,W,911151,593534,1504685
02/02/2008,A,627807,320544,948351
02/03/2008,U,416661,216443,633104
02/04/2008,W,1004041,608975,1613016
02/05/2008,W,1058756,632513,1691269
02/06/2008,W,925504,609115,1534619
02/07/2008,W,1028104,633781,1661885
02/08/2008,W,1031968,622837,1654805
02/09/2008,A,627412,319751,947163
02/10/2008,U,300232,176228,476460
02/11/2008,W,818840,559672,1378512
02/12/2008,W,819820,553554,1373374
02/13/2008,W,1039517,630232,1669749
02/14/2008,W,1074632,640598,1715230
02/15/2008,W,1036232,618258,1654490
02/16/2008,A,649814,336935,986749
02/17/2008,U,411858,218846,630704
02/18/2008,W,715974,456610,1172584
02/19/2008,W,967658,595964,1563622
02/20/2008,W,961552,601847,1563399
02/21/2008,W,1001382,615384,1616766
02/22/2008,W,1021900,610589,1632489
02/23/2008,A,648822,325327,974149
02/24/2008,U,439134,222548,661682
02/25/2008,W,1003187,602866,1606053
02/26/2008,W,970886,605240,1576126
02/27/2008,W,1019462,617002,1636464
02/28/2008,W,1028392,620602,1648994
02/29/2008,W,1049773,618230,1668003
03/01/2008,A,668866,322061,990927
03/02/2008,U,465660,229531,695191
03/03/2008,W,890785,556767,1447552
03/04/2008,W,1053813,619343,1673156
03/05/2008,W,1059027,620660,1679687
03/06/2008,W,1055418,624362,1679780
03/07/2008,W,1031200,604635,1635835
03/08/2008,A,590236,294749,884985
03/09/2008,U,415621,215690,631311
03/10/2008,W,1024901,606737,1631638
03/11/2008,W,1062865,633917,1696782
03/12/2008,W,1068268,640051,1708319
03/13/2008,W,1070019,642018,1712037
03/14/2008,W,1077635,647279,1724914
03/15/2008,A,645518,407380,1052898
03/16/2008,U,447363,243823,691186
