Date,DayOfWeek,BusCommuters,Rail,Total
01/01/2005,U,334140,196267,530407
01/02/2005,U,373512,183672,557184
01/03/2005,W,894571,512620,1407191
01/04/2005,W,972798,559563,1532361
01/05/2005,W,851226,558698,1409924
01/06/2005,W,862750,554283,1417033
01/07/2005,W,915274,554769,1470043
01/08/2005,A,533884,261042,794926
01/09/2005,U,358628,177968,536596
01/10/2005,W,979955,584456,1564411
01/11/2005,W,954938,590368,1545306
01/12/2005,W,972407,589359,1561766
01/13/2005,W,931709,582596,1514305
01/14/2005,W,894841,552090,1446931
01/15/2005,A,481878,249401,731279
01/16/2005,U,314149,169880,484029
01/17/2005,W,539410,349284,888694
01/18/2005,W,907849,569801,1477650
01/19/2005,W,947581,583108,1530689
01/20/2005,W,936302,590558,1526860
01/21/2005,W,968823,591645,1560468
01/22/2005,A,422190,263129,685319
01/23/2005,U,345136,188044,533180
01/24/2005,W,957377,580140,1537517
01/25/2005,W,995268,592253,1587521
01/26/2005,W,947433,581016,1528449
01/27/2005,W,955413,587048,1542461
01/28/2005,W,857968,554367,1412335
01/29/2005,A,559310,277291,836601
01/30/2005,U,387197,187644,574841
01/31/2005,W,992251,583230,1575481
02/01/2005,W,1050914,598684,1649598
02/02/2005,W,1046742,599354,1646096
02/03/2005,W,1061904,607326,1669230
02/04/2005,W,1062971,595511,1658482
02/05/2005,A,670035,312338,982373
02/06/2005,U,413456,196102,609558
02/07/2005,W,987016,578699,1565715
02/08/2005,W,1005698,593343,1599041
02/09/2005,W,989259,595976,1585235
02/10/2005,W,1012514,596286,1608800
02/11/2005,W,999975,566136,1566111
02/12/2005,A,665453,316216,981669
02/13/2005,U,384592,194152,578744
02/14/2005,W,1015673,596928,1612601
02/15/2005,W,980220,590777,1570997
02/16/2005,W,1002714,602439,1605153
02/17/2005,W,981996,593476,1575472
02/18/2005,W,983784,582874,1566658
02/19/2005,A,619586,308419,928005
02/20/2005,U,365108,192834,557942
02/21/2005,W,723673,445742,1169415
02/22/2005,W,1002989,600405,1603394
02/23/2005,W,996383,601647,1598030
02/24/2005,W,982207,599568,1581775
02/25/2005,W,1002592,590287,1592879
02/26/2005,A,603707,304026,907733
02/27/2005,U,386996,200694,587690
02/28/2005,W,943655,578722,1522377
03/01/2005,W,1012943,591771,1604714
03/02/2005,W,984054,587875,1571929
03/03/2005,W,1030040,600570,1630610
03/04/2005,W,1027003,589864,1616867
03/05/2005,A,625252,303912,929164
03/06/2005,U,451472,218330,669802
03/07/2005,W,814934,533210,1348144
03/08/2005,W,1009879,597987,1607866
03/09/2005,W,996362,598004,1594366
03/10/2005,W,941999,585359,1527358
03/11/2005,W,994830,587513,1582343
03/12/2005,A,581761,317998,899759
03/13/2005,U,393195,205254,598449
03/14/2005,W,980033,583024,1563057
03/15/2005,W,1017371,606409,1623780
03/16/2005,W,1011281,607649,1618930
03/17/2005,W,989736,605564,1595300
03/18/2005,W,1017219,593449,1610668
03/19/2005,A,610862,312814,923676
03/20/2005,U,416015,208726,624741
03/21/2005,W,849240,544264,1393504
03/22/2005,W,861916,553996,1415912
03/23/2005,W,837601,544825,1382426
03/24/2005,W,848267,544242,1392509
03/25/2005,W,717162,456076,1173238
03/26/2005,A,550378,266697,817075
03/27/2005,U,392111,172199,564310
03/28/2005,W,968792,568013,1536805
03/29/2005,W,1001423,598783,1600206
03/30/2005,W,942056,580582,1522638
03/31/2005,W,966045,589937,1555982
04/01/2005,W,1050962,600913,1651875
04/02/2005,A,663367,322162,985529
04/03/2005,U,440189,229712,669901
04/04/2005,W,1035659,608092,1643751
04/05/2005,W,1048343,612259,1660602
04/06/2005,W,1005400,610876,1616276
04/07/2005,W,1001832,612048,1613880
04/08/2005,W,1034023,642939,1676962
04/09/2005,A,645280,347387,992667
04/10/2005,U,439237,244746,683983
04/11/2005,W,1013684,615683,1629367
04/12/2005,W,938160,597721,1535881
04/13/2005,W,1016213,630756,1646969
04/14/2005,W,1026667,616143,1642810
04/15/2005,W,953214,602625,1555839
04/16/2005,A,637641,331817,969458
04/17/2005,U,428663,225292,653955
04/18/2005,W,1015285,609637,1624922
04/19/2005,W,1011163,622316,1633479
04/20/2005,W,963837,600039,1563876
04/21/2005,W,954629,601125,1555754
04/22/2005,W,926157,588764,1514921
