Date,DayOfWeek,BusCommuters,Rail,Total
01/01/2006,U,287126,203291,490417
01/02/2006,U,360273,215920,576193
01/03/2006,W,772171,540341,1312512
01/04/2006,W,759600,543243,1302843
01/05/2006,W,766560,550285,1316845
01/06/2006,W,788239,551707,1339946
01/07/2006,A,518237,280538,798775
01/08/2006,U,367927,199691,567618
01/09/2006,W,917702,588402,1506104
01/10/2006,W,938390,600336,1538726
01/11/2006,W,927898,602096,1529994
01/12/2006,W,955926,616251,1572177
01/13/2006,W,887164,585207,1472371
01/14/2006,A,558211,309983,868194
01/15/2006,U,381225,223499,604724
01/16/2006,W,605772,399562,1005334
01/17/2006,W,948555,619527,1568082
01/18/2006,W,954238,621428,1575666
01/19/2006,W,983087,634043,1617130
01/20/2006,W,944694,615420,1560114
01/21/2006,A,542740,308378,851118
01/22/2006,U,371481,208257,579738
01/23/2006,W,976988,626292,1603280
01/24/2006,W,972893,634204,1607097
01/25/2006,W,980770,634664,1615434
01/26/2006,W,988382,643068,1631450
01/27/2006,W,889516,608327,1497843
01/28/2006,A,568287,314425,882712
01/29/2006,U,380026,223196,603222
01/30/2006,W,966708,614814,1581522
01/31/2006,W,995530,634459,1629989
02/01/2006,W,1035412,641676,1677088
02/02/2006,W,1025866,642353,1668219
02/03/2006,W,1020411,627330,1647741
02/04/2006,A,587568,317239,904807
02/05/2006,U,390808,211645,602453
02/06/2006,W,986048,612106,1598154
02/07/2006,W,1008328,631742,1640070
02/08/2006,W,977974,629155,1607129
02/09/2006,W,984574,635409,1619983
02/10/2006,W,1003608,623814,1627422
02/11/2006,A,601208,327796,929004
02/12/2006,U,405657,221409,627066
02/13/2006,W,799595,546148,1345743
02/14/2006,W,1044587,644218,1688805
02/15/2006,W,988045,626072,1614117
02/16/2006,W,930188,613347,1543535
02/17/2006,W,942685,604038,1546723
02/18/2006,A,450578,265649,716227
02/19/2006,U,334766,196957,531723
02/20/2006,W,681948,453199,1135147
02/21/2006,W,993188,623860,1617048
02/22/2006,W,999636,629122,1628758
02/23/2006,W,991146,635013,1626159
02/24/2006,W,987623,615401,1603024
02/25/2006,A,580618,314037,894655
02/26/2006,U,386242,211388,597630
02/27/2006,W,959193,603047,1562240
02/28/2006,W,987195,623237,1610432
03/01/2006,W,1020267,627527,1647794
03/02/2006,W,986927,620235,1607162
03/03/2006,W,1021045,620890,1641935
03/04/2006,A,609288,322365,931653
03/05/2006,U,363219,208605,571824
03/06/2006,W,794246,550369,1344615
03/07/2006,W,1006095,626557,1632652
03/08/2006,W,982979,623290,1606269
03/09/2006,W,979823,627081,1606904
03/10/2006,W,1015665,721158,1736823
03/11/2006,A,614019,386305,1000324
03/12/2006,U,400822,233603,634425
03/13/2006,W,968366,609970,1578336
03/14/2006,W,1000900,629929,1630829
03/15/2006,W,1005800,632700,1638500
03/16/2006,W,953483,630443,1583926
03/17/2006,W,989694,633801,1623495
03/18/2006,A,603484,347527,951011
03/19/2006,U,413687,225740,639427
03/20/2006,W,963013,587104,1550117
03/21/2006,W,943649,585590,1529239
03/22/2006,W,982523,605646,1588169
03/23/2006,W,979617,609325,1588942
03/24/2006,W,978424,597943,1576367
03/25/2006,A,620929,322685,943614
03/26/2006,U,433649,234862,668511
03/27/2006,W,962206,601488,1563694
03/28/2006,W,981183,619650,1600833
03/29/2006,W,987756,636692,1624448
03/30/2006,W,996804,600724,1597528
03/31/2006,W,1028124,641079,1669203
04/01/2006,A,620450,348344,968794
04/02/2006,U,391830,254413,646243
04/03/2006,W,985177,616386,1601563
04/04/2006,W,1042810,660381,1703191
04/05/2006,W,1020222,654034,1674256
04/06/2006,W,998368,635705,1634073
04/07/2006,W,880902,634777,1515679
04/08/2006,A,607382,360442,967824
04/09/2006,U,426567,258613,685180
04/10/2006,W,880692,601070,1481762
04/11/2006,W,885029,628374,1513403
04/12/2006,W,877362,627736,1505098
04/13/2006,W,871878,634065,1505943
04/14/2006,W,804781,551524,1356305
04/15/2006,A,592251,323845,916096
04/16/2006,U,324770,181980,506750
04/17/2006,W,964793,623255,1588048
04/18/2006,W,1000958,646316,1647274
04/19/2006,W,984239,652275,1636514
04/20/2006,W,938226,641954,1580180
04/21/2006,W,999808,659127,1658935
04/22/2006,A,607395,357315,964710
04/23/2006,U,415959,248173,664132
04/24/2006,W,998455,642816,1641271
04/25/2006,W,953034,636129,1589163
04/26/2006,W,952603,649967,1602570
04/27/2006,W,955057,644011,1599068
04/28/2006,W,1008989,666532,1675521
04/29/2006,A,574038,343244,917282
04/30/2006,U,345287,224122,569409
05/01/2006,W,997873,738966,1736839
05/02/2006,W,1045233,664946,1710179
05/03/2006,W,1060500,663686,1724186
05/04/2006,W,1047587,665514,1713101
05/05/2006,W,1023957,651798,1675755
05/06/2006,A,637405,368890,1006295
05/07/2006,U,438858,258592,697450
05/08/2006,W,1010412,624197,1634609
05/09/2006,W,1004081,650430,1654511
05/10/2006,W,1007923,648361,1656284
05/11/2006,W,926462,621331,1547793
05/12/2006,W,958553,639308,1597861
05/13/2006,A,587533,340904,928437
05/14/2006,U,411861,249652,661513
05/15/2006,W,961857,601838,1563695
05/16/2006,W,994913,648507,1643420
05/17/2006,W,964565,640270,1604835
05/18/2006,W,987234,653070,1640304
05/19/2006,W,994011,651428,1645439
05/20/2006,A,619536,365397,984933
05/21/2006,U,423940,258770,682710
05/22/2006,W,996607,629775,1626382
05/23/2006,W,1013298,647643,1660941
05/24/2006,W,951852,631510,1583362
05/25/2006,W,978387,639540,1617927
05/26/2006,W,988688,657379,1646067
05/27/2006,A,646979,358425,1005404
05/28/2006,U,461625,282850,744475
05/29/2006,U,381213,245203,626416
05/30/2006,W,945888,632333,1578221
05/31/2006,W,968145,646966,1615111
06/01/2006,W,1028046,638192,1666238
06/02/2006,W,1031966,647618,1679584
06/03/2006,A,668592,371768,1040360
06/04/2006,U,457674,274564,732238
06/05/2006,W,1005516,625171,1630687
06/06/2006,W,1008096,653049,1661145
06/07/2006,W,1012230,666040,1678270
06/08/2006,W,1011430,675651,1687081
06/09/2006,W,988332,652258,1640590
06/10/2006,A,573542,349687,923229
06/11/2006,U,424510,267884,692394
06/12/2006,W,960901,623525,1584426
06/13/2006,W,961923,664539,1626462
06/14/2006,W,941928,665279,1607207
06/15/2006,W,907237,659507,1566744
06/16/2006,W,966314,667762,1634076
06/17/2006,A,616266,384541,1000807
06/18/2006,U,412366,259888,672254
06/19/2006,W,880777,608854,1489631
06/20/2006,W,889908,636659,1526567
06/21/2006,W,859537,629433,1488970
06/22/2006,W,872019,633021,1505040
06/23/2006,W,905242,639365,1544607
06/24/2006,A,607951,371810,979761
06/25/2006,U,407079,302719,709798
06/26/2006,W,852939,626802,1479741
06/27/2006,W,886147,642922,1529069
06/28/2006,W,886828,649479,1536307
06/29/2006,W,899339,667597,1566936
06/30/2006,W,950077,716112,1666189
07/01/2006,A,631294,429319,1060613
07/02/2006,U,440041,343944,783985
07/03/2006,W,802169,684040,1486209
07/04/2006,U,450356,350242,800598
07/05/2006,W,901332,661426,1562758
07/06/2006,W,925381,678340,1603721
07/07/2006,W,928760,702727,1631487
07/08/2006,A,625575,423300,1048875
07/09/2006,U,443095,313512,756607
07/10/2006,W,900356,618702,1519058
07/11/2006,W,873419,605343,1478762
07/12/2006,W,926286,615196,1541482
07/13/2006,W,922492,644488,1566980
07/14/2006,W,889540,669868,1559408
07/15/2006,A,603018,412144,1015162
07/16/2006,U,418278,308173,726451
07/17/2006,W,886469,626986,1513455
07/18/2006,W,927651,675064,1602715
07/19/2006,W,911699,687896,1599595
07/20/2006,W,827202,644150,1471352
07/21/2006,W,931578,676491,1608069
07/22/2006,A,625346,408434,1033780
07/23/2006,U,446438,284632,731070
07/24/2006,W,906725,633184,1539909
07/25/2006,W,919219,650364,1569583
07/26/2006,W,897731,641296,1539027
07/27/2006,W,894993,663387,1558380
07/28/2006,W,900144,673789,1573933
07/29/2006,A,593188,423092,1016280
07/30/2006,U,416361,290935,707296
07/31/2006,W,831261,608739,1440000
08/01/2006,W,894297,619717,1514014
08/02/2006,W,872246,628299,1500545
08/03/2006,W,911057,656020,1567077
08/04/2006,W,951984,722072,1674056
08/05/2006,A,645372,472159,1117531
08/06/2006,U,451477,357797,809274
08/07/2006,W,905263,633078,1538341
08/08/2006,W,916905,646778,1563683
08/09/2006,W,909623,641076,1550699
08/10/2006,W,856682,614321,1471003
08/11/2006,W,909305,638056,1547361
08/12/2006,A,652458,391862,1044320
08/13/2006,U,433792,268208,702000
08/14/2006,W,857738,595551,1453289
08/15/2006,W,888214,618372,1506586
08/16/2006,W,878842,620892,1499734
08/17/2006,W,874196,628756,1502952
08/18/2006,W,869355,638938,1508293
08/19/2006,A,612065,384987,997052
08/20/2006,U,481484,321400,802884
08/21/2006,W,878842,613716,1492558
08/22/2006,W,896666,628952,1525618
08/23/2006,W,891561,632682,1524243
08/24/2006,W,831663,617548,1449211
08/25/2006,W,895640,645738,1541378
08/26/2006,A,592637,361355,953992
08/27/2006,U,417115,276143,693258
08/28/2006,W,792601,587722,1380323
08/29/2006,W,891705,638128,1529833
08/30/2006,W,913445,650359,1563804
08/31/2006,W,917102,654437,1571539
09/01/2006,W,977274,663472,1640746
09/02/2006,A,668504,405986,1074490
09/03/2006,U,488706,320575,809281
09/04/2006,U,404856,256882,661738
09/05/2006,W,1056228,680476,1736704
09/06/2006,W,1069326,706958,1776284
09/07/2006,W,1043601,726551,1770152
09/08/2006,W,985806,708845,1694651
09/09/2006,A,609019,386190,995209
09/10/2006,U,379770,245048,624818
09/11/2006,W,981275,656692,1637967
09/12/2006,W,1030796,694780,1725576
09/13/2006,W,992146,694220,1686366
09/14/2006,W,1054398,719561,1773959
09/15/2006,W,1060398,729995,1790393
09/16/2006,A,651694,421692,1073386
09/17/2006,U,433989,294159,728148
09/18/2006,W,1037929,688531,1726460
09/19/2006,W,1041255,690760,1732015
09/20/2006,W,1053131,700536,1753667
09/21/2006,W,1044501,696162,1740663
09/22/2006,W,993335,668669,1662004
09/23/2006,A,584517,349931,934448
09/24/2006,U,420423,259500,679923
09/25/2006,W,1041474,666046,1707520
09/26/2006,W,1054882,695484,1750366
09/27/2006,W,1035426,690413,1725839
09/28/2006,W,1043356,676811,1720167
09/29/2006,W,1058057,699340,1757397
09/30/2006,A,636906,394280,1031186
10/01/2006,U,462755,296236,758991
10/02/2006,W,981933,635901,1617834
10/03/2006,W,1064774,681381,1746155
10/04/2006,W,1026517,675804,1702321
10/05/2006,W,1060282,698851,1759133
10/06/2006,W,1055911,691122,1747033
10/07/2006,A,641240,373957,1015197
10/08/2006,U,452460,283787,736247
10/09/2006,W,806458,572361,1378819
10/10/2006,W,1055021,684475,1739496
10/11/2006,W,1022625,684138,1706763
10/12/2006,W,998899,676609,1675508
10/13/2006,W,1014747,680633,1695380
10/14/2006,A,622249,386404,1008653
10/15/2006,U,420083,260059,680142
10/16/2006,W,1011001,668480,1679481
10/17/2006,W,1029815,683799,1713614
10/18/2006,W,1035671,687285,1722956
10/19/2006,W,1035827,689629,1725456
10/20/2006,W,1031742,705991,1737733
10/21/2006,A,631254,403698,1034952
10/22/2006,U,389726,375938,765664
10/23/2006,W,1018534,659505,1678039
10/24/2006,W,1043962,675059,1719021
10/25/2006,W,1057646,663754,1721400
10/26/2006,W,994421,659139,1653560
10/27/2006,W,1007282,663912,1671194
10/28/2006,A,622775,364159,986934
10/29/2006,U,434824,265624,700448
10/30/2006,W,1033777,660257,1694034
10/31/2006,W,997495,663340,1660835
11/01/2006,W,1053237,673789,1727026
11/02/2006,W,1012046,671054,1683100
11/03/2006,W,959706,654291,1613997
11/04/2006,A,609584,356326,965910
11/05/2006,U,435747,266756,702503
11/06/2006,W,1026257,653935,1680192
11/07/2006,W,1033037,651606,1684643
11/08/2006,W,1046870,674951,1721821
11/09/2006,W,1001116,668263,1669379
11/10/2006,W,935843,610547,1546390
11/11/2006,A,591773,376391,968164
11/12/2006,U,417471,251876,669347
11/13/2006,W,1007564,643008,1650572
11/14/2006,W,1047208,669094,1716302
11/15/2006,W,1039976,661667,1701643
11/16/2006,W,998140,658701,1656841
11/17/2006,W,1018763,664438,1683201
11/18/2006,A,620464,403175,1023639
11/19/2006,U,417408,242830,660238
11/20/2006,W,1022880,638117,1660997
11/21/2006,W,1022970,651230,1674200
11/22/2006,W,980561,616974,1597535
11/23/2006,U,318233,182131,500364
11/24/2006,W,628700,393228,1021928
11/25/2006,A,549875,317650,867525
11/26/2006,U,400592,234961,635553
11/27/2006,W,1012191,628799,1640990
11/28/2006,W,1030255,648239,1678494
11/29/2006,W,976231,634505,1610736
11/30/2006,W,985569,649626,1635195
12/01/2006,W,912314,629776,1542090
12/02/2006,A,595637,338009,933646
12/03/2006,U,375419,224761,600180
12/04/2006,W,962864,605349,1568213
12/05/2006,W,992857,620241,1613098
12/06/2006,W,1015490,629687,1645177
12/07/2006,W,921792,603900,1525692
12/08/2006,W,952445,626294,1578739
12/09/2006,A,590225,344215,934440
12/10/2006,U,406068,237226,643294
12/11/2006,W,995926,609360,1605286
12/12/2006,W,991473,612992,1604465
12/13/2006,W,1020619,640224,1660843
12/14/2006,W,1007667,626704,1634371
12/15/2006,W,1002739,632077,1634816
12/16/2006,A,632218,356756,988974
12/17/2006,U,432910,251802,684712
12/18/2006,W,990534,591895,1582429
12/19/2006,W,1019785,596338,1616123
12/20/2006,W,975226,586048,1561274
12/21/2006,W,924778,564199,1488977
12/22/2006,W,906201,529373,1435574
12/23/2006,A,578507,277455,855962
12/24/2006,U,391926,175847,567773
12/25/2006,U,242369,112855,355224
12/26/2006,W,652808,377449,1030257
12/27/2006,W,732919,460703,1193622
12/28/2006,W,758151,487441,1245592
12/29/2006,W,816636,499735,1316371
12/30/2006,A,589298,310684,899982
12/31/2006,U,412048,293362,705410
