Date,DayOfWeek,BusCommuters,Rail,Total
01/01/2002,U,294360,122471,416831
01/02/2002,W,766853,491630,1258483
01/03/2002,W,838088,523292,1361380
01/04/2002,W,858709,528849,1387558
01/05/2002,A,542470,245820,788290
01/06/2002,U,370508,177606,548114
01/07/2002,W,953807,568929,1522736
01/08/2002,W,973200,585667,1558867
01/09/2002,W,985622,591671,1577293
01/10/2002,W,974188,591742,1565930
01/11/2002,W,1006535,591718,1598253
01/12/2002,A,565955,266826,832781
01/13/2002,U,371378,176272,547650
01/14/2002,W,985931,593642,1579573
01/15/2002,W,983090,601489,1584579
01/16/2002,W,955758,608009,1563767
01/17/2002,W,968715,598282,1566997
01/18/2002,W,967930,581331,1549261
01/19/2002,A,556405,273407,829812
01/20/2002,U,374069,180903,554972
01/21/2002,W,648994,392312,1041306
01/22/2002,W,1012565,603877,1616442
01/23/2002,W,990484,600427,1590911
01/24/2002,W,1007218,605974,1613192
01/25/2002,W,1028432,601352,1629784
01/26/2002,A,611356,283489,894845
01/27/2002,U,408878,189116,597994
01/28/2002,W,1009923,595606,1605529
01/29/2002,W,979719,597598,1577317
01/30/2002,W,936013,602737,1538750
01/31/2002,W,879895,602988,1482883
02/01/2002,W,954707,585087,1539794
02/02/2002,A,614544,273954,888498
02/03/2002,U,401958,180019,581977
02/04/2002,W,988315,576117,1564432
02/05/2002,W,997471,596800,1594271
02/06/2002,W,1011650,597747,1609397
02/07/2002,W,1011915,600731,1612646
02/08/2002,W,1027036,594502,1621538
02/09/2002,A,650477,296011,946488
02/10/2002,U,379613,180097,559710
02/11/2002,W,985014,592118,1577132
02/12/2002,W,811567,541814,1353381
02/13/2002,W,1019675,612626,1632301
02/14/2002,W,1014122,609706,1623828
02/15/2002,W,1007654,589737,1597391
02/16/2002,A,617307,292835,910142
02/17/2002,U,423922,209261,633183
02/18/2002,W,759013,458524,1217537
02/19/2002,W,985390,597374,1582764
02/20/2002,W,986615,601360,1587975
02/21/2002,W,977261,603816,1581077
02/22/2002,W,1016162,592329,1608491
02/23/2002,A,629609,292764,922373
02/24/2002,U,421160,199343,620503
02/25/2002,W,979843,581612,1561455
02/26/2002,W,933204,587918,1521122
02/27/2002,W,939542,587701,1527243
02/28/2002,W,941136,592045,1533181
03/01/2002,W,973482,593596,1567078
03/02/2002,A,512767,264847,777614
03/03/2002,U,331715,174890,506605
03/04/2002,W,726815,493625,1220440
03/05/2002,W,978944,588656,1567600
03/06/2002,W,1008215,593126,1601341
03/07/2002,W,1008102,594952,1603054
03/08/2002,W,993813,587766,1581579
03/09/2002,A,493346,254471,747817
03/10/2002,U,361758,180401,542159
03/11/2002,W,1008613,591093,1599706
03/12/2002,W,1021380,612457,1633837
