Date,DayOfWeek,BusCommuters,Rail,Total
06/19/2003,W,946693,596124,1542817
06/20/2003,W,938177,611219,1549396
06/21/2003,A,610796,345895,956691
06/22/2003,U,423283,242077,665360
06/23/2003,W,855955,568379,1424334
06/24/2003,W,928442,620552,1548994
06/25/2003,W,841205,603880,1445085
06/26/2003,W,833307,600660,1433967
06/27/2003,W,890776,661150,1551926
06/28/2003,A,561500,350162,911662
06/29/2003,U,421380,329753,751133
06/30/2003,W,884729,611874,1496603
07/01/2003,W,957351,634210,1591561
07/02/2003,W,936777,640212,1576989
07/03/2003,W,983110,790702,1773812
07/04/2003,U,471591,347887,819478
07/05/2003,A,549605,363309,912914
07/06/2003,U,389816,269228,659044
07/07/2003,W,852771,569437,1422208
07/08/2003,W,846175,579733,1425908
07/09/2003,W,871942,598967,1470909
07/10/2003,W,893195,614469,1507664
07/11/2003,W,907669,615433,1523102
07/12/2003,A,607118,339152,946270
07/13/2003,U,421579,257051,678630
07/14/2003,W,905206,611190,1516396
07/15/2003,W,874304,618204,1492508
07/16/2003,W,915630,597927,1513557
07/17/2003,W,861722,579675,1441397
07/18/2003,W,902204,590356,1492560
07/19/2003,A,619480,324535,944015
07/20/2003,U,403847,224010,627857
07/21/2003,W,883219,578363,1461582
07/22/2003,W,889426,590880,1480306
07/23/2003,W,906650,622160,1528810
07/24/2003,W,896387,622281,1518668
07/25/2003,W,903368,591792,1495160
07/26/2003,A,584819,312502,897321
07/27/2003,U,367151,222589,589740
07/28/2003,W,849172,562933,1412105
07/29/2003,W,903830,615414,1519244
07/30/2003,W,880392,616406,1496798
07/31/2003,W,889575,617395,1506970
08/01/2003,W,912597,605206,1517803
08/02/2003,A,678701,399990,1078691
08/03/2003,U,387659,244986,632645
08/04/2003,W,920408,585024,1505432
08/05/2003,W,918113,600556,1518669
08/06/2003,W,883115,581895,1465010
08/07/2003,W,923161,584026,1507187
08/08/2003,W,903597,583831,1487428
08/09/2003,A,638279,371415,1009694
08/10/2003,U,418764,244876,663640
08/11/2003,W,806587,566910,1373497
08/12/2003,W,864526,595230,1459756
08/13/2003,W,875224,614427,1489651
08/14/2003,W,857542,592601,1450143
08/15/2003,W,873580,602111,1475691
08/16/2003,A,627785,363117,990902
08/17/2003,U,462931,290507,753438
08/18/2003,W,821919,559214,1381133
08/19/2003,W,853603,577418,1431021
08/20/2003,W,838351,567116,1405467
08/21/2003,W,820578,562565,1383143
08/22/2003,W,867524,576202,1443726
08/23/2003,A,585510,313035,898545
08/24/2003,U,408305,227185,635490
08/25/2003,W,850528,561134,1411662
08/26/2003,W,836703,573211,1409914
08/27/2003,W,862298,578962,1441260
08/28/2003,W,857707,578781,1436488
08/29/2003,W,902436,604839,1507275
08/30/2003,A,622090,339474,961564
