Date,DayOfWeek,BusCommuters,Rail,Total
9/15/01,5,615097,277875,892972
9/16/01,6,417392,191270,608662
9/17/01,0,919985,609381,1529366
9/18/01,1,1039365,626518,1665883
9/19/01,2,939442,625612,1565054
9/20/01,3,973094,646112,1619206
9/21/01,4,967583,626032,1593615
9/22/01,5,641096,307331,948427
9/23/01,6,361048,190813,551861
9/24/01,0,940207,622061,1562268
9/25/01,1,968563,638815,1607378
9/26/01,2,1028542,639258,1667800
9/27/01,3,1024125,642860,1666985
9/28/01,4,1024142,645884,1670026
9/29/01,5,639464,330008,969472
9/30/01,6,412037,219852,631889
10/1/01,0,1069361,639795,1709156
10/2/01,1,1078342,658020,1736362
10/3/01,2,1018388,657170,1675558
10/4/01,3,902598,649681,1552279
10/5/01,4,1034680,651273,1685953
10/6/01,5,628587,326860,955447
10/7/01,6,404926,287483,692409
10/8/01,0,802729,531294,1334023
10/9/01,1,1055377,645072,1700449
10/10/01,2,898767,637568,1536335
10/11/01,3,1025128,647937,1673065
10/12/01,4,1000153,625089,1625242
10/13/01,5,515481,273528,789009
10/14/01,6,409065,209437,618502
10/15/01,0,1037513,627937,1665450
10/16/01,1,1022047,634396,1656443
10/17/01,2,1036702,641266,1677968
10/18/01,3,1017434,646140,1663574
10/19/01,4,956423,642121,1598544
10/20/01,5,632093,319399,951492
10/21/01,6,433014,213638,646652
10/22/01,0,1012782,621894,1634676
10/23/01,1,1000304,638393,1638697
10/24/01,2,867027,625218,1492245
10/25/01,3,947047,618401,1565448
10/26/01,4,981933,613047,1594980
10/27/01,5,582223,291912,874135
10/28/01,6,405374,208481,613855
10/29/01,0,1019942,623086,1643028
10/30/01,1,994503,629005,1623508
10/31/01,2,978585,628587,1607172
11/1/01,3,1029256,641642,1670898
11/2/01,4,1042714,645966,1688680
11/3/01,5,648350,315004,963354
11/4/01,6,443453,222988,666441
11/5/01,0,1057697,629864,1687561
11/6/01,1,1044478,638448,1682926
11/7/01,2,1033982,640396,1674378
11/8/01,3,1004574,636400,1640974
11/9/01,4,931849,620257,1552106
11/10/01,5,618184,322793,940977
11/11/01,6,416118,218931,635049
11/12/01,0,812747,527242,1339989
11/13/01,1,1026715,641101,1667816
11/14/01,2,994462,624162,1618624
11/15/01,3,983434,615519,1598953
11/16/01,4,1046467,623566,1670033
11/17/01,5,653210,354828,1008038
11/18/01,6,414683,201199,615882
11/19/01,0,999890,600948,1600838
11/20/01,1,1005581,612391,1617972
11/21/01,2,988420,589664,1578084
11/22/01,3,322788,151915,474703
11/23/01,4,641780,356646,998426
11/24/01,5,504548,253414,757962
11/25/01,6,373755,186416,560171
11/26/01,0,993754,600439,1594193
11/27/01,1,985583,613858,1599441
11/28/01,2,981842,614405,1596247
11/29/01,3,972155,613392,1585547
11/30/01,4,1039082,625037,1664119
12/1/01,5,640965,307646,948611
12/2/01,6,418878,210748,629626
12/3/01,0,1051222,599106,1650328
12/4/01,1,1049416,613294,1662710
12/5/01,2,1039940,622264,1662204
12/6/01,3,1020021,623428,1643449
12/7/01,4,1023743,618300,1642043
12/8/01,5,620074,315639,935713
12/9/01,6,406917,207697,614614
12/10/01,0,1005376,597416,1602792
12/11/01,1,1010462,614387,1624849
12/12/01,2,981259,609660,1590919
12/13/01,3,990166,610845,1601011
12/14/01,4,982986,600798,1583784
12/15/01,5,623138,319051,942189
12/16/01,6,407448,213347,620795
12/17/01,0,995060,593314,1588374
12/18/01,1,1014592,608735,1623327
12/19/01,2,958790,591815,1550605
12/20/01,3,987827,586572,1574399
12/21/01,4,994499,569456,1563955
12/22/01,5,586969,268254,855223
12/23/01,6,393359,184628,577987
12/24/01,0,525908,257022,782930
12/25/01,1,218872,93525,312397
12/26/01,2,619967,380064,1000031
12/27/01,3,690465,436814,1127279
12/28/01,4,739404,456879,1196283
12/29/01,5,473194,224772,697966
12/30/01,6,306871,160102,466973
12/31/01,0,650794,321388,972182
